rankings,contests,ani_num
785,42,0
786,69,0
787,64,0
788,9,0
789,25,-1
790,38,0
791,46,3
792,7,0
793,44,2
794,12,0
795,172,0
796,131,0
797,332,0
798,87,-1
799,39,3
800,107,0
901,31,-1
902,23,0
903,89,2
904,16,0
905,18,0
906,69,1
907,27,0
908,18,-1
909,10,0
910,10,-1
911,37,0
912,118,0
913,11,2
914,55,0
915,20,-1
916,28,0
917,42,0
918,63,3
919,40,-1
920,85,4
921,12,1
922,103,-1
923,75,3
924,10,2
925,170,0
926,73,2
927,9,0
928,25,0
929,28,0
930,71,4
931,45,1
932,37,-1
933,47,-1
934,93,0
935,29,-1
936,12,0
937,83,-1
938,47,-1
939,21,-1
940,29,4
941,7,-1
942,19,2
943,90,0
944,18,3
945,77,0
946,23,-1
947,31,-1
948,44,0
949,9,0
950,32,0
951,58,-1
952,107,0
953,113,0
954,18,0
955,89,0
956,76,0
957,11,0
958,9,0
959,121,0
960,101,0
961,7,0
962,24,0
963,17,0
964,11,0
965,57,-1
966,12,4
967,28,2
968,196,3
969,38,1
970,39,0
971,53,-1
972,9,-1
973,9,0
974,356,-1
975,55,0
1051,32,0
1052,10,-1
1053,312,-1
1054,107,1
1055,6,0
1056,54,0
1057,234,0
1058,20,-1
1059,15,-1
1060,26,-1
1061,36,-1
1062,39,0
1063,19,-1
1064,19,-1
1065,59,0
1066,50,-1
1067,44,2
1068,32,2
1069,254,0
1070,97,0
1071,31,0
1072,23,4
1073,94,-1
1074,248,0
1075,41,0
1076,23,0
1077,33,-1
1078,10,-1
1079,31,-1
1080,31,0
1081,43,-1
1082,83,-1
1083,25,-1
1084,8,-1
1085,118,-1
1086,21,4
1087,220,0
1088,31,-1
1089,410,0
1090,26,0
1091,20,0
1092,10,-1
1093,142,0
1094,13,0
1095,85,0
1096,92,0
1097,17,-1
1098,35,0
1099,257,3
1100,82,-1
1151,176,0
1152,30,-1
1153,27,-1
1154,107,-1
1155,73,0
1156,80,0
1157,29,0
1158,26,0
1159,45,3
1160,35,0
1161,58,3
1162,240,3
1163,71,2
1164,101,0
1165,22,-1
1166,60,0
1167,70,-1
1168,75,-1
1169,26,-1
1170,14,-1
1171,107,3
1172,85,1
1173,101,0
1174,335,3
1175,198,-1
1176,64,0
1177,17,0
1178,12,-1
1179,39,-1
1180,40,-1
1181,132,3
1182,76,2
1183,88,0
1184,31,0
1185,129,3
1186,28,0
1187,34,0
1188,28,0
1189,23,0
1190,64,-1
1191,159,-1
1192,151,0
1193,56,1
1194,16,0
1195,58,0
1196,126,0
1197,7,-1
1198,50,0
1199,31,0
1200,12,0
1201,162,2
1202,26,-1
1203,65,2
1204,14,-1
1205,14,0
1206,48,0
1207,36,-1
1208,166,0
1209,19,0
1210,103,0
1211,78,0
1212,18,0
1213,94,-1
1214,19,1
1215,55,0
1216,143,0
1217,145,-1
1218,23,0
1219,65,0
1220,79,0
1221,75,3
1222,9,-1
1223,53,0
1224,44,-1
1225,115,-1
1251,207,0
1252,40,0
1253,72,0
1254,69,2
1255,37,0
1256,63,0
1257,41,0
1258,34,0
1259,15,0
1260,54,0
1261,36,0
1262,26,0
1263,24,0
1264,97,0
1265,20,0
1266,8,2
1267,59,0
1268,160,-1
1269,26,3
1270,25,0
1271,105,0
1272,67,-1
1273,30,0
1274,155,0
1275,26,1
1301,50,0
1302,37,2
1303,135,0
1304,81,0
1305,76,-1
1306,46,0
1307,142,0
1308,10,0
1309,11,-1
1310,105,-1
1311,29,3
1312,34,-1
1313,59,1
1314,80,2
1315,78,-1
1316,38,1
1317,62,-1
1318,24,0
1319,14,0
1320,62,0
1321,140,0
1322,178,-1
1323,12,-1
1324,42,-1
1325,43,1
1351,52,1
1352,14,0
1353,32,0
1354,95,0
1355,112,0
1356,139,0
1357,27,0
1358,449,2
1359,15,0
1360,16,-1
1361,80,0
1362,76,0
1363,31,3
1364,62,-1
1365,165,3
1366,4,-1
1367,66,-1
1368,10,0
1369,56,0
1370,11,0
1371,41,-1
1372,47,0
1373,50,2
1374,35,3
1375,32,-1
1376,45,-1
1377,138,0
1378,42,0
1379,75,0
1380,14,3
1381,8,0
1382,23,1
1383,23,-1
1384,33,0
1385,33,-1
1386,20,0
1387,49,0
1388,35,-1
1389,8,3
1390,99,0
1391,40,0
1392,21,0
1393,29,0
1394,32,-1
1395,33,0
1396,46,0
1397,16,-1
1398,28,-1
1399,44,-1
1400,491,2
1426,30,0
1427,23,3
1428,44,0
1429,95,-1
1430,43,3
1431,42,0
1432,30,0
1433,141,0
1434,13,0
1435,69,1
1436,27,0
1437,28,0
1438,46,-1
1439,8,0
1440,44,1
1441,59,-1
1442,32,1
1443,20,-1
1444,32,-1
1445,63,4
1446,76,0
1447,14,0
1448,8,-1
1449,15,3
1450,30,-1
1476,43,1
1477,57,-1
1478,16,-1
1479,81,0
1480,44,0
1481,13,0
1482,43,0
1483,38,0
1484,21,-1
1485,11,0
1486,48,4
1487,53,-1
1488,29,0
1489,169,0
1490,5,-1
1491,94,0
1492,35,0
1493,42,0
1494,22,0
1495,5,0
1496,82,0
1497,63,0
1498,60,2
1499,19,-1
1500,261,0
1501,69,-1
1502,123,0
1503,277,0
1504,67,-1
1505,8,0
1506,191,0
1507,13,0
1508,23,-1
1509,32,2
1510,162,0
1511,30,0
1512,162,2
1513,20,-1
1514,75,-1
1515,12,0
1516,17,0
1517,27,-1
1518,39,0
1519,66,-1
1520,30,-1
1521,61,0
1522,15,0
1523,37,2
1524,11,4
1525,8,0
1551,10,0
1552,78,0
1553,19,0
1554,18,4
1555,41,1
1556,151,0
1557,204,-1
1558,134,0
1559,86,0
1560,6,3
1561,13,0
1562,27,0
1563,38,0
1564,11,1
1565,40,0
1566,37,-1
1567,35,-1
1568,26,0
1569,98,0
1570,101,-1
1571,57,3
1572,58,0
1573,13,-1
1574,10,0
1575,37,-1
1576,22,3
1577,87,1
1578,94,0
1579,15,0
1580,9,0
1581,56,3
1582,66,0
1583,25,-1
1584,33,2
1585,199,2
1586,36,0
1587,18,-1
1588,49,1
1589,26,0
1590,71,0
1591,26,0
1592,23,-1
1593,33,0
1594,20,3
1595,105,-1
1596,18,0
1597,92,0
1598,78,0
1599,93,0
1600,36,-1
1701,49,0
1702,53,0
1703,34,0
1704,55,2
1705,35,-1
1706,7,0
1707,66,0
1708,105,-1
1709,40,2
1710,19,-1
1711,87,0
1712,118,1
